,N,Média,Desvio,Mín,Q1,Mediana,Q3,Máx
Endivid. BCB (%),168.00,42.15,4.65,36.78,38.30,40.04,47.99,49.88
Comprom. Renda (%),168.00,26.46,3.21,21.53,23.92,25.78,30.04,31.54
PEIC Endivid. (%),170.00,67.14,7.77,55.93,60.75,63.45,76.89,80.20
PEIC Renda Comp. (%),170.00,30.00,0.56,28.55,29.66,29.95,30.29,31.87
ICC Geral,169.00,118.43,18.86,84.55,106.79,113.63,127.39,170.18
ICC Atuais,169.00,97.42,31.13,47.35,69.73,96.27,116.67,167.90
IPCA (%),170.00,0.46,0.37,-0.68,0.24,0.43,0.66,1.62
Selic (% a.a.),171.00,9.77,3.79,1.90,6.49,10.49,13.58,14.90
Spread PF (p.p.),169.00,17.98,2.67,13.28,15.38,18.32,19.91,23.61
Inadimpl. (%),169.00,3.18,0.46,2.11,2.92,3.18,3.54,4.25
Desemprego (%),169.00,9.66,2.82,5.10,7.17,8.80,12.10,14.90
Rend. Médio (R$),169.00,3324.75,170.69,3055.00,3204.00,3281.00,3436.33,3813.00
