Variável,ADF Stat,ADF p-valor,KPSS Stat,KPSS p-valor,Diagnóstico (nível),ADF 1ª dif. p-valor,I(d)
Endividamento BCB,-0.6254,0.8651,1.5917,0.0100,Não estacionária,0.0008,I(1)
Comprometimento Renda,-0.7299,0.8389,1.0069,0.0100,Não estacionária,0.0011,I(1)
PEIC Endividadas,-0.0214,0.9567,1.5398,0.0100,Não estacionária,0.0036,I(1)
PEIC Atraso,-1.1151,0.7090,1.6962,0.0100,Não estacionária,0.0000,I(1)
PEIC Renda Comp.,-4.8578,0.0000,0.1304,0.1000,Estacionária,0.0000,I(0)
ICC Geral,-3.6904,0.0043,0.3546,0.0967,Estacionária,0.1789,I(0)
ICC Atuais,-3.2563,0.0169,0.4533,0.0542,Estacionária,0.3409,I(0)
ICC Expectativas,-3.1680,0.0219,0.1709,0.1000,Estacionária,0.0000,I(0)
IPCA,-7.1285,0.0000,0.1456,0.1000,Estacionária,0.0000,I(0)
Selic,-1.5309,0.5182,0.2344,0.1000,Inconclusivo,0.0009,I(1)
Spread PF,-2.8681,0.0492,0.3271,0.1000,Estacionária,0.0370,I(0)
Inadimplência,-1.9164,0.3244,0.2494,0.1000,Inconclusivo,0.0886,I(2)?
Desemprego,-0.7756,0.8262,0.4411,0.0594,Inconclusivo,0.0419,I(1)
Rendimento Médio,-1.7619,0.3996,1.0319,0.0100,Não estacionária,0.0638,I(2)?
